Updated On,State,Total Tested,Tags,Positive,Negative,Unconfirmed,Unnamed: 7,Total People In Quarantine,Total People Released From Quarantine,Num Isolation Beds,Num ICU Beds,Num Ventilators,Num Calls State Helpline,Source,Source2,Test positivity rate,Tests per thousand,Tests per million,Population (Source: covid19india),Unnamed: 20,Unnamed: 21,Unnamed: 22
24/04/2020,Arunachal Pradesh,526.0,Samples Collected,2.0,508.0,16.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.38%,0.35,350.0,,,,
26/04/2020,Arunachal Pradesh,568.0,Samples Collected,2.0,529.0,37.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.35%,0.38,378.0,,,,
27/04/2020,Arunachal Pradesh,584.0,Samples Collected,2.0,566.0,16.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.34%,0.39,388.0,,,,
28/04/2020,Arunachal Pradesh,610.0,Samples Collected,2.0,581.0,27.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.33%,0.41,406.0,,,,
29/04/2020,Arunachal Pradesh,662.0,Samples Collected,2.0,595.0,65.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.30%,0.44,440.0,,,,
30/04/2020,Arunachal Pradesh,694.0,Samples Collected,2.0,656.0,36.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.29%,0.46,461.0,,,,
01/05/2020,Arunachal Pradesh,724.0,Samples Collected,2.0,692.0,30.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.28%,0.48,481.0,,,,
02/05/2020,Arunachal Pradesh,,,,,,,,,,,,,,,,0.0,0.0,,,,
03/05/2020,Arunachal Pradesh,810.0,Samples Collected,2.0,761.0,47.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.25%,0.54,539.0,,,,
04/05/2020,Arunachal Pradesh,869.0,Samples Collected,2.0,762.0,105.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.23%,0.58,578.0,,,,
05/05/2020,Arunachal Pradesh,970.0,Samples Collected,2.0,814.0,154.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.21%,0.64,645.0,,,,
06/05/2020,Arunachal Pradesh,1039.0,Samples Collected,2.0,857.0,180.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.19%,0.69,691.0,,,,
07/05/2020,Arunachal Pradesh,1144.0,Samples Collected,2.0,952.0,190.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.17%,0.76,761.0,,,,
08/05/2020,Arunachal Pradesh,1354.0,Samples Collected,2.0,1015.0,337.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.15%,0.9,900.0,,,,
09/05/2020,Arunachal Pradesh,1597.0,Samples Collected,2.0,1266.0,329.0,,,,,,,,http://covid19.itanagarsmartcity.in/covidstatus.php,,0.13%,1.06,1062.0,,,,
10/05/2020,Arunachal Pradesh,1823.0,Samples Collected,2.0,1363.0,458.0,,,,,,,5388.0,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php,0.11%,1.21,1212.0,,,,
11/05/2020,Arunachal Pradesh,2078.0,Samples Collected,2.0,1538.0,538.0,,,,,,,5418.0,http://covid19.itanagarsmartcity.in/covidstatus.php,http://covid19.itanagarsmartcity.in/callstatus.php,,,,,,,
12/05/2020,Arunachal Pradesh,,,,,,,,,,,,,,,,,,,,,
02/04/2020,Assam,962.0,Tested,16.0,819.0,,,,,,,,,https://twitter.com/nhm_assam/status/1245742375319691264/photo/1,,1.66%,0.03,28.0,"34,293,000",,,
10/04/2020,Assam,2863.0,Tested,29.0,2685.0,,,,,3212.0,440.0,240.0,9245.0,https://t.me/indiacovid/2003?single,,1.01%,0.08,83.0,,,,
11/04/2020,Assam,3011.0,Tested,29.0,2842.0,,,,,3212.0,440.0,240.0,9514.0,https://t.me/indiacovid/2075?single,,0.96%,0.09,88.0,,,,
12/04/2020,Assam,3138.0,Tested,29.0,2973.0,194.0,,,,3212.0,440.0,240.0,9845.0,https://t.me/indiacovid/2146?single,,0.92%,0.09,92.0,,,,
14/04/2020,Assam,3491.0,Tested,31.0,3267.0,193.0,,10022.0,,3212.0,440.0,240.0,10615.0,https://twitter.com/nhm_assam/status/1250104916535726081/photo/1,,0.89%,0.1,102.0,,,,
15/04/2020,Assam,3613.0,Tested,32.0,3492.0,89.0,,,,3212.0,440.0,240.0,10915.0,https://twitter.com/nhm_assam/status/1250441490418950148/photo/1,https://twitter.com/nhm_assam/status/1250441490418950148/photo/2,0.89%,0.11,105.0,,,,
16/04/2020,Assam,4108.0,Tested,34.0,3803.0,,,,,3338.0,440.0,303.0,11248.0,https://twitter.com/nhm_assam/status/1250836057853067264?s=20,,0.83%,0.12,120.0,,,,
17/04/2020,Assam,4236.0,Tested,34.0,4024.0,,,,,3338.0,440.0,303.0,11561.0,https://twitter.com/nhm_assam/status/1251154796444184578,,0.80%,0.12,124.0,,,,
18/04/2020,Assam,4400.0,Tested,34.0,4199.0,,,,,3338.0,440.0,303.0,11847.0,https://twitter.com/nhm_assam,,0.77%,0.13,128.0,,,,
19/04/2020,Assam,4865.0,Tested,34.0,4584.0,,,,,3338.0,440.0,303.0,12148.0,https://twitter.com/nhm_assam/status/1251891980939825153/photo/1,,0.70%,0.14,142.0,,,,
20/04/2020,Assam,5112.0,Tested,34.0,4937.0,,,,,3338.0,440.0,303.0,12478.0,https://twitter.com/nhm_assam/status/1252256054907461632,,0.67%,0.15,149.0,,,,
21/04/2020,Assam,5514.0,Tested,34.0,5245.0,,,,,3338.0,440.0,303.0,12853.0,https://twitter.com/nhm_assam/status/1252591349670576128,,0.62%,0.16,161.0,,,,
24/04/2020,Assam,6680.0,Tested,35.0,6391.0,,,,,3338.0,440.0,303.0,14478.0,https://twitter.com/nhm_assam/status/1253714714485538817,,0.52%,0.19,195.0,,,,
25/04/2020,Assam,7159.0,Tested,35.0,6781.0,,,,,3338.0,440.0,303.0,14812.0,https://twitter.com/nhm_assam/status/1254067546023694337?s=19,,0.49%,0.21,209.0,,,,
26/04/2020,Assam,7823.0,Tested,35.0,7474.0,,,,,3338.0,440.0,303.0,15418.0,https://twitter.com/nhm_assam/status/1254433067911036936/photo/1,,0.45%,0.23,228.0,,,,
27/04/2020,Assam,8117.0,Tested,35.0,7985.0,,,,,3338.0,440.0,303.0,15809.0,https://twitter.com/nhm_assam/status/1254813929898835979,,0.43%,0.24,237.0,,,,
28/04/2020,Assam,,Tested,,,,,,,,,,,,,,0.0,0.0,,,,
29/04/2020,Assam,9520.0,Tested,37.0,8771.0,,,,,3338.0,440.0,303.0,16815.0,https://twitter.com/nhm_assam/status/1255530189448241159,,0.39%,0.28,278.0,,,,
30/04/2020,Assam,,Tested,,,,,,,,,,,,,,0.0,0.0,,,,
01/05/2020,Assam,,Tested,,,,,,,,,,,,,,0.0,0.0,,,,
02/05/2020,Assam,11623.0,Tested,42.0,10499.0,,,,,3338.0,440.0,303.0,18549.0,https://twitter.com/nhm_assam/status/1256617639985549313?s=19,,0.36%,0.34,339.0,,,,
03/05/2020,Assam,,Tested,,,,,,,,,,,,,,0.0,0.0,,,,
04/05/2020,Assam,12775.0,Tested,42.0,11764.0,,,,,3338.0,440.0,303.0,19808.0,https://twitter.com/nhm_assam/status/1257309042742972421?s=19,,0.33%,0.37,373.0,,,,
05/05/2020,Assam,13442.0,Tested,43.0,12533.0,,,,,3338.0,440.0,303.0,20548.0,https://twitter.com/nhm_assam/status/1257686398108344321,,0.32%,0.39,392.0,,,,
09/05/2020,Assam,16167.0,Tested,59.0,15076.0,,,,,3338.0,595.0,332.0,22689.0,https://twitter.com/nhm_assam/status/1259143253225549824?s=19,,0.36%,0.47,471.0,,,,
10/05/2020,Assam,18002.0,Tested,62.0,16236.0,,,,,3338.0,595.0,332.0,23315.0,https://twitter.com/nhm_assam/status/1259509134476656643?s=19,,0.34%,0.52,525.0,,,,
11/05/2020,Assam,19589.0,Tested,64.0,17813.0,,,,,3338.0,595.0,332.0,23849.0,https://twitter.com/nhm_assam/status/1259873813346619393,,,,,,,,
12/05/2020,Assam,,,,,,,,,,,,,,,,,,,,,
05/04/2020,Bihar,3037.0,Tested,32.0,2299.0,706.0,,,,,,,,https://twitter.com/sanjayjavin/status/1246667952054665216,,1.05%,0.03,25.0,"119,520,000",,,
05/04/2020,Bihar,3037.0,Tested,32.0,2299.0,706.0,,,,,,,,,,1.05%,0.03,25.0,,,,
08/04/2020,Bihar,4596.0,Tested,38.0,,465.0,,,,,,,,https://twitter.com/sanjayjavin/status/1247762894063677440,,0.83%,0.04,38.0,,,,
09/04/2020,Bihar,4991.0,Tested,43.0,,394.0,,,,,,,,https://twitter.com/BiharHealthDept/status/1248176830856626176/photo/1,,0.86%,0.04,42.0,,,,
10/04/2020,Bihar,5457.0,Tested,60.0,,673.0,,,,,,,,https://twitter.com/BiharHealthDept/status/1248494623409885184/photo/1,,1.10%,0.05,46.0,,,,
11/04/2020,Bihar,6250.0,Tested,61.0,,,,832.0,,2344.0,116.0,50.0,51075.0,https://twitter.com/BiharHealthDept/status/1248845966158905345?s=19,https://twitter.com/BiharHealthDept/status/1248964845371674625?s=09,0.98%,0.05,52.0,,,,
12/04/2020,Bihar,6703.0,Tested,64.0,,618.0,,,,2344.0,116.0,50.0,,https://twitter.com/sanjayjavin/status/1249203228178296832?s=20,,0.95%,0.06,56.0,,,,
13/04/2020,Bihar,7263.0,Tested,65.0,,41.0,,,,2344.0,116.0,50.0,,https://t.me/indiacovid/2178?single,,0.89%,0.06,61.0,,,,
14/04/2020,Bihar,7727.0,Tested,62.0,,472.0,,,,2344.0,116.0,50.0,,https://twitter.com/sanjayjavin/status/1249928292519432192?s=09,,0.80%,0.06,65.0,,,,
15/04/2020,Bihar,8263.0,Tested,66.0,,565.0,,,,2344.0,116.0,50.0,40380.0,https://twitter.com/sanjayjavin/status/1250296101350957058?s=09,https://twitter.com/SHSBihar/status/1250345699780096001?s=09,0.80%,0.07,69.0,,,,
16/04/2020,Bihar,8846.0,Tested,72.0,,607.0,,,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1250667064571785216?s=09,,0.81%,0.07,74.0,,,,
17/04/2020,Bihar,9486.0,Tested,83.0,,510.0,,,,2344.0,116.0,50.0,,https://twitter.com/sanjayjavin/status/1251023696354881537,,0.87%,0.08,79.0,,,,
18/04/2020,Bihar,10130.0,Tested,85.0,,512.0,,735.0,,2344.0,116.0,50.0,43152.0,https://twitter.com/BiharHealthDept/status/1251491112855973895,https://twitter.com/SHSBihar/status/1251437221179060224?s=09,0.84%,0.08,85.0,,,,
19/04/2020,Bihar,10745.0,Tested,92.0,,644.0,,700.0,,2344.0,116.0,50.0,,https://t.me/indiacovid/2664?single,,0.86%,0.09,90.0,,,,
20/04/2020,Bihar,11319.0,Tested,96.0,,490.0,,802.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1252218091712524289,,0.85%,0.09,95.0,,,,
21/04/2020,Bihar,11999.0,Tested,115.0,,998.0,,693.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1252564363044704256,,0.96%,0.1,100.0,,,,
22/04/2020,Bihar,12978.0,Tested,136.0,,1005.0,,748.0,,2344.0,116.0,50.0,,https://mobile.twitter.com/BiharHealthDept/status/1252933211488993280,,1.05%,0.11,109.0,,,,
23/04/2020,Bihar,13785.0,Tested,148.0,,1240.0,,768.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1253330396726480901?s=19,,1.07%,0.12,115.0,,,,
24/04/2020,Bihar,14924.0,Tested,176.0,,1000.0,,,,2344.0,116.0,50.0,,https://twitter.com/sanjayjavin/status/1253554587811774465?s=19,https://twitter.com/BiharHealthDept/status/1254045733969330178,1.18%,0.12,125.0,,,,
25/04/2020,Bihar,15885.0,Tested,238.0,,898.0,,1255.0,,2344.0,116.0,50.0,,https://t.me/indiacovid/3178,,1.50%,0.13,133.0,,,,
26/04/2020,Bihar,17041.0,Tested,255.0,,1018.0,,1427.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1254402408664363008?s=20,,1.50%,0.14,143.0,,,,
27/04/2020,Bihar,18179.0,Tested,328.0,,1656.0,,1614.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1254741773257248769,,1.80%,0.15,152.0,,,,
28/04/2020,Bihar,19790.0,Tested,346.0,,1884.0,,,,,,,,https://twitter.com/BiharHealthDept/status/1255002059994210304,,1.75%,0.17,166.0,,,,
29/04/2020,Bihar,21180.0,Tested,383.0,,1948.0,,2133.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1255508656205950976?s=19,,1.81%,0.18,177.0,,,,
30/04/2020,Bihar,22672.0,Tested,409.0,,1991.0,,2154.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1255823491133292545,,1.80%,0.19,190.0,,,,
01/05/2020,Bihar,24118.0,Tested,466.0,,2326.0,,2156.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1256207916274720769?s=20,,1.93%,0.2,202.0,,,,
02/05/2020,Bihar,25724.0,Tested,476.0,,2250.0,,2112.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1256541420544024582?s=19,https://twitter.com/BiharHealthDept/status/1256473162583281666?s=19,1.85%,0.22,215.0,,,,
03/05/2020,Bihar,26951.0,Tested,485.0,,1346.0,,2343.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1256919058374590464?s=19,https://twitter.com/BiharHealthDept/status/1256829872409686016?s=19,1.80%,0.23,225.0,,,,
04/05/2020,Bihar,28345.0,Tested,525.0,,527.0,,1803.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1257290178265219074,https://twitter.com/sanjayjavin/status/1257177930700132353?s=19,1.85%,0.24,237.0,,,,
05/05/2020,Bihar,28791.0,Tested,529.0,,547.0,,1481.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1257622689050656768?s=20,https://twitter.com/sanjayjavin/status/1257551487674322944?s=19,1.84%,0.24,241.0,,,,
06/05/2020,Bihar,29328.0,Tested,539.0,,464.0,,1425.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1257989196540547072?s=20,https://twitter.com/sanjayjavin/status/1257909230872539137?s=09,1.84%,0.25,245.0,,,,
07/05/2020,Bihar,29841.0,Tested,547.0,,701.0,,1466.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1258347711755104258?s=19,https://twitter.com/BiharHealthDept/status/1258294411605098502?s=19,1.83%,0.25,250.0,,,,
08/05/2020,Bihar,30320.0,Tested,564.0,,1007.0,,1995.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1258741538051538944?s=19,https://twitter.com/sanjayjavin/status/1258643211679084544?s=19,1.86%,0.25,254.0,,,,
09/05/2020,Bihar,31552.0,Tested,585.0,,1831.0,,2094.0,,2344.0,116.0,50.0,,https://twitter.com/BiharHealthDept/status/1259082646530994177/photo/2,https://twitter.com/sanjayjavin/status/1258992256561958913?s=09,1.85%,0.26,264.0,,,,
10/05/2020,Bihar,32670.0,Tested,653.0,,2099.0,,2244.0,,2344.0,116.0,50.0,,https://twitter.com/SHSBihar/status/1259472954938753024?s=19,https://twitter.com/sanjayjavin/status/1259358836130869248?s=19,2.00%,0.27,273.0,,,,
11/05/2020,Bihar,34662.0,Tested,714.0,,2417.0,,2204.0,,2344.0,116.0,50.0,,https://twitter.com/SHSBihar/status/1259822193531224064,https://twitter.com/sanjayjavin/status/1259716677639581700?s=19,2.06%,0.29,290.0,,,,
12/05/2020,Bihar,37430.0,Tested,796.0,,2673.0,,2376.0,,2344.0,116.0,50.0,,https://twitter.com/SHSBihar/status/1260170113812070401,https://www.google.com/url?q=https://twitter.com/sanjayjavin/status/1260091241833758722&sa=D&ust=1589296480572000&usg=AFQjCNGpkunozT7DjSbEcurNcg7fiXCKHA,,,,,,,
02/04/2020,Chandigarh,124.0,Tested,18.0,98.0,8.0,,,,,,,,http://chdcovid19.in/,,14.52%,0.11,105.0,1179000,,,
08/04/2020,Chandigarh,184.0,Tested,18.0,162.0,,,,,,,,,http://chdcovid19.in/,,9.78%,0.16,156.0,,,,
10/04/2020,Chandigarh,223.0,Tested,19.0,199.0,4.0,,,,,,,,http://chdcovid19.in/,,8.52%,0.19,189.0,,,,
11/04/2020,Chandigarh,264.0,Tested,19.0,223.0,21.0,,,,,,,,http://chdcovid19.in,,7.20%,0.22,224.0,,,,
12/04/2020,Chandigarh,279.0,Tested,21.0,247.0,10.0,,,,,,,,http://chdcovid19.in/,,7.53%,0.24,237.0,,,,
13/04/2020,Chandigarh,296.0,Tested,21.0,263.0,11.0,,,,,,,,http://chdcovid19.in,,7.09%,0.25,251.0,,,,
14/04/2020,Chandigarh,309.0,Tested,21.0,285.0,2.0,,,,,,,,http://chdcovid19.in,,6.80%,0.26,262.0,,,,
15/04/2020,Chandigarh,317.0,Tested,21.0,293.0,2.0,,,,,,,,http://chdcovid19.in,,6.62%,0.27,269.0,,,,
16/04/2020,Chandigarh,337.0,Tested,21.0,315.0,0.0,,,,,,,,https://twitter.com/ANI/status/1250765375874072578?s=09,,6.23%,0.29,286.0,,,,
17/04/2020,Chandigarh,358.0,Tested,21.0,335.0,1.0,,,,,,,,http://chdcovid19.in/,,5.87%,0.3,304.0,,,,
18/04/2020,Chandigarh,381.0,Tested,23.0,348.0,9.0,,,,,,,,http://chdcovid19.in/,,6.04%,0.32,323.0,,,,
19/04/2020,Chandigarh,430.0,Tested,26.0,388.0,15.0,,,,,,,,http://chdcovid19.in/,,6.05%,0.36,365.0,,,,
20/04/2020,Chandigarh,453.0,Tested,26.0,417.0,9.0,,,,,,,,http://chdcovid19.in/,,5.74%,0.38,384.0,,,,
21/04/2020,Chandigarh,497.0,Tested,27.0,445.0,24.0,,,,,,,,https://twitter.com/ANI/status/1252589665518936064/photo/1,,5.43%,0.42,422.0,,,,
22/04/2020,Chandigarh,529.0,Tested,27.0,492.0,9.0,,,,,,,,http://chdcovid19.in/,,5.10%,0.45,449.0,,,,
23/04/2020,Chandigarh,599.0,Tested,27.0,557.0,14.0,,,,,,,,http://chdcovid19.in/,,4.51%,0.51,508.0,,,,
24/04/2020,Chandigarh,638.0,Tested,27.0,603.0,7.0,,,,,,,,http://chdcovid19.in/,,4.23%,0.54,541.0,,,,
25/04/2020,Chandigarh,734.0,Tested,28.0,668.0,37.0,,,,,,,,http://chdcovid19.in/,,3.81%,0.62,623.0,,,,
26/04/2020,Chandigarh,756.0,Tested,30.0,677.0,48.0,,,,,,,,http://chdcovid19.in/,,3.97%,0.64,641.0,,,,
27/04/2020,Chandigarh,843.0,Tested,40.0,777.0,25.0,,,,,,,,http://chdcovid19.in/,,4.74%,0.72,715.0,,,,
28/04/2020,Chandigarh,924.0,Tested,56.0,857.0,10.0,,,,,,,,https://t.me/indiacovid/3457,,6.06%,0.78,784.0,,,,
29/04/2020,Chandigarh,1012.0,Tested,67.0,922.0,22.0,,,,,,,,http://chdcovid19.in/,,6.62%,0.86,858.0,,,,
